dataset,description,dataset_raw
NYC_Issued_Licenses.geojson,"Issued Business Licenses – active NYC Department of Consumer and Worker Protection (DCWP) business licenses. The Issued Licenses Dataset — a citywide registry of business licenses issued by various NYC agencies, covering commercial establishments, services, and regulated businesses. More information about how this dataset was generated can be found here.",1yod-q658.geojson
2020_doe_high_school_directory.geojson,Directory of Department of Education High Schools in 2020.,23z9-6uk9.geojson
dsny_special_waste_drop_off_sites.geojson,"Location of DSNY Special Waste Drop-Off Sites. For hours of operation, what to bring, and rules and procedures, please see: https://www.nyc.gov/site/dsny/what-we-do/programs/special-waste-drop-off.page.",242c-ru4i.geojson
NYC_HVI.geojson,Heat Vulnerability Index (including geometry) More information about how this dataset was generated can be found here.,2ztn-w637.geojson
street_closures_due_to_construction_activities_by_intersection.geojson,"DOT Street Closure data identifies locations in the New York City Street Closure map where a street is subject to a full closure, restricting through traffic, for the purpose of conducting construction related activity on a City street. Details about DOT construction permits can be found at Street Works Manual, http://streetworksmanual.nyc. Full Closure Permits are issued for a period of time during which the street may be closed to through traffic for only a portion of the time, and open at other times.",478a-yykk.geojson
forestry_inspections.geojson,Record of Forestry inspections for NYC Parks & Recreation. Inspections are initiated by a service request or internal process and may result in a work order. Inspections are used to record field observations. ForMS 2.0 requires that Inspections can only be created from either a Tree Point or Planting Space based on the asset in question. Inspection types vary depending on the inspector’s workflow: • level 1 (limited visual) • level 2 (basic) • level 3 (advanced) • Re-inspection • Sidewalk Rating (Trees and Sidewalks Inspections) • General – Planting Space (Street Tree Planting Inspections) This dataset can be joined to the Forestry Tree Points dataset by joining TreePointGlobalID from Forestry Inspections to GLOBALID from Forestry Tree Points. User guide: https://docs.google.com/document/d/1PVPWFi-WExkG3rvnagQDoBbqfsGzxCKNmR6n678nUeU/edit?usp=sharing Data dictionary: https://docs.google.com/spreadsheets/d/1yMfZgcsrvx9M0b3-ZdEQ3WCk2dFxgitCWytTrJSwEAs/edit?usp=sharing,4pt5-3vv4.geojson
NYC_vehicle_collisions_crashes.geojson,"NYC Vehicle Collisions Note:This data can not be loaded using load_data(). This dataset contains detailed records of motor vehicle collisions in New York City, collected by the NYPD. It includes information such as the date and time of the incident, location (borough, latitude, longitude), contributing factors, types of vehicles involved, and counts of persons injured or killed. It is a vital resource for traffic safety analysis, urban planning, and policy-making related to… See the full description on the dataset page: https://huggingface.co/datasets/oscur/NYC_vehicle_collisions_issue.",4vub-j903.geojson
moving_violation_b_summons_year_to_date.geojson,Moving violation summonses issued by the NYPD. This dataset documents the issuance of moving violations (B summonses) by the NYPD. The data is collected from members of service upon completion of the New York State form. Each record represents a summons (violation). The data can be used for analyzing traffic enforcement activity by the NYPD.,57p3-pdcj.geojson
nyc_dot_pedestrian_plazas_point_feature.geojson,A shapefile with all DOT pedestrian plaza locations across New York City in point feature.,5dck-9m6g.geojson
NYC_poverty_rate.geojson,"Socioeconomic and Demographic Dataset This data element integrates multiple ACS profile tables (Demographics, Economics, Housing, and Social Characteristics) with NYC Neighborhood Tabulation Area (NTA) geometries. The ACS profiles provide population, housing, labor force, and social statistics. The NTA geometry dataset supplies official 2020 NTA boundaries in polygon format. The result is a single wide-format dataset keyed by NTA_code, with all attributes grouped, aligned… See the full description on the dataset page: https://huggingface.co/datasets/oscur/NYC_socioeconomic_and_demographic.",5h9s-2g4c.geojson
canine_waste_dispensers.geojson,"• One line of data represents the location of a canine waste bag dispenser, including what surface it is mounted on, who refills it, who made it, and when it was installed. • Data is collected by analysts located in each borough and collated by Parks’ Innovation & Performance Management team. • Data is updated as needed using an ArcGIS Online web application. • Records for dispensers that are no longer active have been removed • Not all records have an installation date. Records will only have an OMPPropID and SubProperty name if they fall within the bounds of a sub property.",5npv-j6gn.geojson
